video_id,video_path,event_index,event_name,frame_index,pose_backend,pose_detected,trail_elbow_angle,lead_elbow_angle,shoulder_tilt,hip_tilt,spine_tilt,missing_features,failure_reason
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,0,Address,29,mediapipe,True,165.86397484094368,174.26306865519612,-169.41274315179683,-175.25570068014525,-2.2917816407337255,,
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,1,Toe-up,45,mediapipe,True,,163.17826219069167,159.33436874224972,-179.91228959697875,1.4140055051727998,trail_elbow_angle,missing_features:trail_elbow_angle
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,2,Mid-backswing,47,mediapipe,True,,151.65273177061115,162.350155129162,-178.09684405247347,2.150818779245183,trail_elbow_angle,missing_features:trail_elbow_angle
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,3,Top,59,mediapipe,True,,110.46535091314847,-179.24471271028523,-179.5470616026369,3.5785332215706056,trail_elbow_angle,missing_features:trail_elbow_angle
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,4,Mid-downswing,64,mediapipe,True,,114.70012115524005,-175.3123078057075,-175.0424562924101,8.912041334694072,trail_elbow_angle,missing_features:trail_elbow_angle
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,5,Impact,67,mediapipe,True,148.3286666183408,140.47374140021475,-153.0384805046673,-168.7599084663111,14.646631477299136,,
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,6,Mid-follow-through,69,mediapipe,True,163.5891987421857,,-145.9852718924357,-172.13396392691087,13.742716149447968,lead_elbow_angle,missing_features:lead_elbow_angle
8,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\8.mp4,7,Finish,83,mediapipe,True,132.89152732082417,103.98161385297279,171.28768723205383,179.82672568937832,-1.036778393944779,,
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,0,Address,30,mediapipe,True,173.8933271347691,178.16970738585226,-167.51127414935732,-172.6367378787997,-2.028893655099119,,
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,1,Toe-up,89,mediapipe,True,149.1920652334531,165.87002376136948,158.1346961676199,-178.47926240786694,1.1563757344364092,,
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,2,Mid-backswing,98,mediapipe,True,,152.65064836080444,157.49935314977793,-179.68797509104706,1.482692453823096,trail_elbow_angle,missing_features:trail_elbow_angle
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,3,Top,148,mediapipe,True,,104.32041622990985,-178.5115984008438,-176.95651731501843,4.101077802561658,trail_elbow_angle,missing_features:trail_elbow_angle
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,4,Mid-downswing,164,mediapipe,True,102.41912048072383,114.93596058234239,178.18740663565154,-176.92671937824986,7.345899286290451,,
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,5,Impact,178,mediapipe,True,165.79696959743458,178.48424973197731,-153.43126794374734,-173.4784911602687,12.781787759779679,,
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,6,Mid-follow-through,187,mediapipe,True,151.43187115427355,,-151.9168058690101,-172.82202972161795,14.394340961182435,lead_elbow_angle,missing_features:lead_elbow_angle
9,C:\Users\zzang\Desktop\workspace\Python\golf\src\golfdb-master\learning_video\golfdb_720p_slice\9.mp4,7,Finish,246,mediapipe,True,106.91015034769502,115.47680243108769,174.13109729614501,178.99851418435827,-1.0444590466349741,,
